,secu_abbr,chi_name,listed_state,secu_code,secu_market,listed_sector,hs_code
939,交运股份,上海交运集团股份有限公司,上市,600676,上海证券交易所,主板,600676.SH
940,四川金顶,四川金顶(集团)股份有限公司,上市,600678,上海证券交易所,主板,600678.SH
941,上海凤凰,上海凤凰企业(集团)股份有限公司,上市,600679,上海证券交易所,主板,600679.SH
942,百川能源,百川能源股份有限公司,上市,600681,上海证券交易所,主板,600681.SH
943,南京新百,南京新街口百货商店股份有限公司,上市,600682,上海证券交易所,主板,600682.SH
944,京投发展,京投发展股份有限公司,上市,600683,上海证券交易所,主板,600683.SH
945,珠江股份,广州珠江发展集团股份有限公司,上市,600684,上海证券交易所,主板,600684.SH
946,中船防务,中船海洋与防务装备股份有限公司,上市,600685,上海证券交易所,主板,600685.SH
947,金龙汽车,厦门金龙汽车集团股份有限公司,上市,600686,上海证券交易所,主板,600686.SH
948,上海石化,中国石化上海石油化工股份有限公司,上市,600688,上海证券交易所,主板,600688.SH
949,上海三毛,上海三毛企业(集团)股份有限公司,上市,600689,上海证券交易所,主板,600689.SH
950,海尔智家,海尔智家股份有限公司,上市,600690,上海证券交易所,主板,600690.SH
951,阳煤化工,阳煤化工股份有限公司,上市,600691,上海证券交易所,主板,600691.SH
952,亚通股份,上海亚通股份有限公司,上市,600692,上海证券交易所,主板,600692.SH
953,东百集团,福建东百集团股份有限公司,上市,600693,上海证券交易所,主板,600693.SH
954,大商股份,大商股份有限公司,上市,600694,上海证券交易所,主板,600694.SH
955,岩石股份,上海贵酒股份有限公司,上市,600696,上海证券交易所,主板,600696.SH
956,欧亚集团,长春欧亚集团股份有限公司,上市,600697,上海证券交易所,主板,600697.SH
957,湖南天雁,湖南天雁机械股份有限公司,上市,600698,上海证券交易所,主板,600698.SH
958,均胜电子,宁波均胜电子股份有限公司,上市,600699,上海证券交易所,主板,600699.SH
959,舍得酒业,舍得酒业股份有限公司,上市,600702,上海证券交易所,主板,600702.SH
960,三安光电,三安光电股份有限公司,上市,600703,上海证券交易所,主板,600703.SH
961,物产中大,物产中大集团股份有限公司,上市,600704,上海证券交易所,主板,600704.SH
962,中航产融,中航工业产融控股股份有限公司,上市,600705,上海证券交易所,主板,600705.SH
963,曲江文旅,西安曲江文化旅游股份有限公司,上市,600706,上海证券交易所,主板,600706.SH
964,彩虹股份,彩虹显示器件股份有限公司,上市,600707,上海证券交易所,主板,600707.SH
965,光明地产,光明房地产集团股份有限公司,上市,600708,上海证券交易所,主板,600708.SH
966,苏美达,苏美达股份有限公司,上市,600710,上海证券交易所,主板,600710.SH
967,盛屯矿业,盛屯矿业集团股份有限公司,上市,600711,上海证券交易所,主板,600711.SH
968,南宁百货,南宁百货大楼股份有限公司,上市,600712,上海证券交易所,主板,600712.SH
969,南京医药,南京医药股份有限公司,上市,600713,上海证券交易所,主板,600713.SH
970,金瑞矿业,青海金瑞矿业发展股份有限公司,上市,600714,上海证券交易所,主板,600714.SH
971,文投控股,文投控股股份有限公司,上市,600715,上海证券交易所,主板,600715.SH
972,凤凰股份,江苏凤凰置业投资股份有限公司,上市,600716,上海证券交易所,主板,600716.SH
973,天津港,天津港股份有限公司,上市,600717,上海证券交易所,主板,600717.SH
974,东软集团,东软集团股份有限公司,上市,600718,上海证券交易所,主板,600718.SH
975,大连热电,大连热电股份有限公司,上市,600719,上海证券交易所,主板,600719.SH
976,祁连山,甘肃祁连山水泥集团股份有限公司,上市,600720,上海证券交易所,主板,600720.SH
977,百花医药,新疆百花村医药集团股份有限公司,上市,600721,上海证券交易所,主板,600721.SH
978,金牛化工,河北金牛化工股份有限公司,上市,600722,上海证券交易所,主板,600722.SH
979,宁波富达,宁波富达股份有限公司,上市,600724,上海证券交易所,主板,600724.SH
980,云维股份,云南云维股份有限公司,上市,600725,上海证券交易所,主板,600725.SH
981,*ST华源,华电能源股份有限公司,上市,600726,上海证券交易所,主板,600726.SH
982,鲁北化工,山东鲁北化工股份有限公司,上市,600727,上海证券交易所,主板,600727.SH
